Test No.,Displacement Into Surface,Load On Sample,Modulus,Hardness,Row Number,Distance,True Row
1,226.3771347,3.003860991,213.9729957,2.409416072,0,-36.731,1
11,223.4089419,2.931078724,224.6116833,2.403531133,1,-31.325,1
21,224.385015,2.927254356,206.4357987,2.392400488,2,-24.395,1
31,222.5263747,3.080936645,194.4574239,2.586331385,3,-17.465,1
41,,,,,4,-11.227,1
51,,,,,5,-4.436,1
61,,,,,6,2.495,1
71,,,,,7,9.286,1
81,,,,,8,16.91,1
91,214.2488784,3.268886012,238.6696629,2.940064348,9,23.424,1
2,228.6244386,3.082448601,175.6763157,2.46544239,0,-36.176,2
12,227.7790645,3.155211086,200.7479502,2.521170755,1,-30.216,2
22,224.9607561,3.10371172,225.161903,2.520228179,2,-22.87,2
32,222.673395,3.091224124,221.0245056,2.566576027,3,-16.356,2
42,224.5401318,3.131169884,213.8459549,2.563932219,4,-9.98,2
52,218.6579437,3.34075687,196.9324523,2.932085729,5,-2.634,2
62,217.1592461,3.41935882,186.2179836,3.070796131,6,3.742,2
72,217.4041466,3.292911221,220.5511807,2.892206474,7,11.504,2
82,227.5186752,3.301624716,185.9467009,2.673683705,8,18.019,2
92,217.6636265,3.253572049,232.7614531,2.8351368,9,24.533,2
3,223.658427,3.116760913,256.884444,2.540387039,0,-34.79,3
13,223.4252796,3.032758032,246.77703,2.478198181,1,-28.553,3
23,228.1881653,3.176477224,193.7258137,2.53744445,2,-21.484,3
33,225.237162,3.105759088,214.7186943,2.524118011,3,-14.831,3
43,219.2488789,3.1693441,216.1650535,2.728920362,4,-8.039,3
53,216.7781574,3.217059106,219.5787246,2.837283432,5,-1.109,3
63,221.2513818,3.393482921,256.1963145,2.848733709,6,5.683,3
73,219.8020005,3.090667889,219.8933909,2.637547069,7,12.197,3
83,220.6004352,3.142177766,236.0403787,2.651578156,8,19.266,3
93,219.1584147,3.109123073,252.6112122,2.645207155,9,26.196,3
4,228.0673238,3.053808875,256.2687232,2.387681697,0,-33.543,4
14,227.5145686,3.105114644,230.0586265,2.459423565,1,-27.306,4
24,225.4762561,2.980209562,228.5467908,2.398081542,2,-20.652,4
34,224.4880504,3.119591329,229.0846571,2.542284372,3,-13.584,4
44,222.4604717,3.02689589,235.8371202,2.502512371,4,-6.792,4
54,217.6794459,3.525144014,194.5524394,3.147036464,5,-0.277,4
64,219.5798721,3.320691359,236.0188192,2.843397308,6,6.514,4
74,220.1966745,3.177275533,231.8283966,2.697501323,7,13.167,4
84,222.6736216,3.095534087,252.3868989,2.547628028,8,20.791,4
94,226.26598,3.195951367,184.8438728,2.611034729,9,27.305,4
5,224.6899545,2.994146403,206.2343061,2.445139036,0,-32.295,5
15,228.6221241,3.076810175,210.6471765,2.425351404,1,-26.058,5
25,225.5761314,3.094812532,268.5578115,2.470754246,2,-19.128,5
35,224.9616055,3.110493526,204.293664,2.544320013,3,-12.198,5
45,214.689908,3.277856841,180.8192347,3.010634351,4,-5.96,5
55,216.3209925,3.666856434,196.3337171,3.331122704,5,1.525,5
65,217.4123626,3.354300494,215.8363185,2.956769884,6,8.039,5
75,223.3993157,3.098186605,198.4262394,2.576595013,7,14.831,5
85,224.5365717,3.070728491,211.0858919,2.512567247,8,22.177,5
95,229.3093529,3.276424718,228.4399774,2.565688315,9,28.553,5
6,226.1873571,3.017320475,263.5033651,2.393801593,0,-30.771,6
16,224.5480464,2.976691802,184.9400398,2.453609616,1,-24.533,6
26,226.6212836,3.106681114,206.476752,2.500064205,2,-17.742,6
36,223.1581746,3.167984838,242.2500748,2.60723734,3,-10.673,6
46,215.4187786,3.391728706,213.3040792,3.055428818,4,-4.574,6
56,,,,,5,2.079,6
66,210.8215902,3.185507314,172.6279665,3.047129877,6,9.009,6
76,223.9542074,2.987961305,225.0807792,2.441287058,7,16.078,6
86,223.1414295,3.067428655,230.8123943,2.526369405,8,23.008,6
96,224.0113548,3.089203674,229.5965506,2.52621295,9,29.8,6
7,226.0006016,3.00640721,218.6529976,2.416369459,0,-29.662,7
17,228.9526222,3.129124197,235.5065807,2.44405074,1,-23.702,7
27,226.1527273,3.153013884,199.414313,2.558800495,2,-16.078,7
37,221.7954919,3.126510167,213.1404127,2.627165724,3,-9.703,7
47,219.7612189,3.41259826,218.5276393,2.942729789,4,-2.772,7
57,218.4237621,3.102856469,181.9638377,2.727398741,5,3.604,7
67,220.5378025,3.050666215,238.981952,2.567341036,6,10.534,7
77,219.5171229,3.141783164,228.2262105,2.685010804,7,17.741,7
87,221.8775854,3.00641024,227.8349219,2.503531239,8,24.533,7
97,226.0415402,3.151032734,236.7785917,2.527840284,9,31.186,7
8,227.9165784,3.093042472,229.4518346,2.440566602,0,-28.276,8
18,224.4032089,3.004484611,212.54237,2.45547847,1,-22.039,8
28,227.4292776,3.101143655,234.0010192,2.455197557,2,-15.247,8
38,222.1374685,3.079300944,239.6585695,2.554359514,3,-8.317,8
48,212.086073,3.345842312,212.1513072,3.112482807,4,-1.802,8
58,213.9582582,3.367034757,169.8529676,3.148266367,5,5.405,8
68,221.1186593,3.058353445,230.3698483,2.566713238,6,12.197,8
78,221.251167,3.150689285,176.5879395,2.706913932,7,18.712,8
88,222.3251275,2.995930384,227.8562027,2.483656369,8,25.919,8
98,223.6014465,3.065405636,228.7389504,2.515332563,9,32.295,8
9,224.1582803,3.104093415,234.4736725,2.532341131,0,-27.167,9
19,224.7908939,3.121708487,221.3809553,2.543118836,1,-20.652,9
29,226.1771633,3.056983338,226.2347968,2.450733772,2,-13.722,9
39,222.5979394,3.377016073,221.0882325,2.828727127,3,-7.208,9
49,215.4649441,3.382289558,244.4452752,3.010365773,4,-0.277,9
59,218.6881974,3.367661381,228.9089809,2.919095067,5,6.376,9
69,224.3387349,3.168603458,259.5153692,2.568131062,6,13.167,9
79,221.5455252,3.05989844,254.4749826,2.541283278,7,19.821,9
89,223.6170102,3.033729036,230.3010271,2.485707042,8,27.305,9
99,224.2971311,3.139867389,248.1872431,2.551113576,9,33.543,9
10,225.3045858,2.996785991,162.1051121,2.4834466,0,-25.642,10
20,227.1512284,2.977419613,260.788816,2.340795702,1,-19.544,10
30,225.9246901,3.053818894,168.5733474,2.511813471,2,-12.613,10
40,217.7892374,3.358348211,202.0831726,2.967202842,3,-5.822,10
50,215.9655857,3.392011647,218.2526788,3.033169108,4,0.831,10
60,216.3748573,3.265219593,185.7006513,2.939720925,5,8.039,10
70,221.0628239,3.174119798,159.1698918,2.763874575,6,14.554,10
80,222.5715353,3.135948339,196.9611921,2.633190555,7,20.929,10
90,221.9558108,2.967692067,187.385687,2.50326253,8,28.276,10
100,,,,,9,34.651,10
